epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,70.1073,2.06734,2.0351,2.26727,0.7458,0.61345,0.74879,0.32961,1.74991,1.64926,1.51365,0.00127971,0.00127971,0.00127971
43,71.822,2.04015,2.14514,2.32143,0.7693,0.62185,0.74527,0.34995,1.77709,1.59823,1.51126,0.00124944,0.00124944,0.00124944
44,73.6518,2.08096,2.15621,2.26332,0.78697,0.62088,0.75332,0.35004,1.80055,1.62615,1.53074,0.00121893,0.00121893,0.00121893
45,75.3194,2.15637,2.19412,2.32791,0.76278,0.67553,0.76591,0.36317,1.81082,1.63508,1.54481,0.00118819,0.00118819,0.00118819
46,76.7859,2.04435,2.02755,2.20713,0.75206,0.68821,0.77122,0.36394,1.81317,1.63077,1.54823,0.00115728,0.00115728,0.00115728
47,78.3416,2.12397,2.13801,2.29606,0.73809,0.71048,0.7773,0.3707,1.77143,1.6283,1.52553,0.00112621,0.00112621,0.00112621
48,79.8258,1.98372,2.05063,2.25407,0.72835,0.721,0.76171,0.36693,1.75797,1.62817,1.53061,0.00109501,0.00109501,0.00109501
49,81.2893,2.06253,2.10603,2.21806,0.67423,0.69568,0.73812,0.34363,1.75798,1.64529,1.53282,0.00106373,0.00106373,0.00106373
50,82.7886,2.02533,2.1003,2.17909,0.71136,0.68067,0.73713,0.33786,1.75918,1.61898,1.52367,0.00103238,0.00103238,0.00103238
51,84.4278,2.0288,2.04419,2.24164,0.68529,0.65546,0.68848,0.32412,1.80925,1.64164,1.55736,0.001001,0.001001,0.001001
52,85.9684,2.01907,2.01451,2.19635,0.71629,0.67893,0.72065,0.33518,1.79883,1.62344,1.56051,0.000969621,0.000969621,0.000969621
53,87.5204,2.04618,2.07645,2.21571,0.73624,0.68067,0.73941,0.35967,1.78853,1.57664,1.55245,0.000938272,0.000938272,0.000938272
54,89.084,2.07101,2.05213,2.22069,0.78424,0.67197,0.73008,0.36789,1.79296,1.55301,1.55124,0.000906986,0.000906986,0.000906986
55,90.7054,2.0619,2.04409,2.19423,0.70647,0.66387,0.69088,0.34666,1.79641,1.5858,1.54415,0.000875792,0.000875792,0.000875792
56,92.2713,2.02316,2.00265,2.20852,0.72104,0.66387,0.63845,0.31294,1.81138,1.64705,1.55028,0.000844722,0.000844722,0.000844722
57,93.7913,2.0081,2.03814,2.17458,0.72507,0.66387,0.60894,0.28564,1.80733,1.67699,1.54263,0.000813806,0.000813806,0.000813806
58,95.3749,2.01839,1.97782,2.17799,0.7192,0.68873,0.61632,0.28079,1.79015,1.68015,1.53563,0.000783075,0.000783075,0.000783075
59,97.0812,2.14051,2.12546,2.33716,0.71893,0.70934,0.64325,0.2826,1.75229,1.65304,1.51166,0.000752559,0.000752559,0.000752559
60,98.7104,2.01075,2.05332,2.17504,0.7136,0.70588,0.65045,0.29757,1.73626,1.62222,1.50791,0.000722288,0.000722288,0.000722288
61,100.286,1.99346,2.03173,2.16473,0.72734,0.71429,0.65795,0.31003,1.73446,1.60253,1.51768,0.000692292,0.000692292,0.000692292
62,101.955,2.04881,2.06869,2.23158,0.71829,0.72851,0.64719,0.30991,1.72925,1.6095,1.51637,0.000662601,0.000662601,0.000662601
63,103.545,1.88788,1.96623,2.15466,0.6951,0.70884,0.64024,0.3062,1.73105,1.60826,1.51835,0.000633244,0.000633244,0.000633244
64,105.32,2.0017,2.03457,2.15487,0.68087,0.73509,0.62766,0.30037,1.72372,1.60314,1.51627,0.000604249,0.000604249,0.000604249
65,106.988,1.97932,2.08463,2.17123,0.66543,0.73109,0.64462,0.31187,1.73687,1.58745,1.51523,0.000575646,0.000575646,0.000575646
66,108.754,1.84901,1.97269,2.03707,0.64485,0.7324,0.67699,0.32896,1.75028,1.57219,1.51711,0.000547463,0.000547463,0.000547463
67,110.416,1.9226,1.92748,2.11274,0.6452,0.71826,0.64608,0.30795,1.78036,1.58298,1.52117,0.000519728,0.000519728,0.000519728
