model,split,mAP50,mAP50-95,precision,recall
C:\Users\USER\Downloads\ai-feat-2-ai-yolotestmodel\model\weights\best.pt,test,0.0,0.0,0.0,0.0
runs/film_ft\stage2_freeze0\weights\best.pt,test,0.8920642288088801,0.5114692118528095,0.8415677926426253,0.8495575221238938
